Gender,Age,Marital Status,Caste Category,Religion,Region,State,Qualification,Occupation,Sector of Employment,Annual Income,Pregnant or Lactating,Disabled (PWD),Senior Citizen,Member of Minority Community,Medical Proof of Delivery/Miscarriage,Scheme Name,Scheme Category,Eligible,Reason for Non-Eligibility,Name Present on Ration Card,Submitted Documents,Applying as NGO,NGO Registered under Societies Act,NGO Registered under Senior Citizens Rules 2009,NGO Runs Old Age Home,SHG Member,Registered Journalist,Proof of Profession,Medical Reason,Already Availed Max Limit,Studied in Govt School,Currently Pursuing,First-generation College Goer,Institution Type,Top 1000 Scorer,7.5% Quota Admission
Female,19,,SC,Christian,,Tamil Nadu,,,,45797,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,Diploma,TRUE,Govt,,
Female,18,,DNC,Christian,,Tamil Nadu,,,,71262,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,Polytechnic,TRUE,Govt,,
Female,21,,SC,Christian,,Tamil Nadu,,,,13048,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,Polytechnic,TRUE,Govt,,
Female,17,,ST,Muslim,,Tamil Nadu,,,,56559,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,Polytechnic,TRUE,Govt,,
Female,18,,MBC,Hindu,,Tamil Nadu,,,,53562,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,TRUE,Govt,,
Female,17,,SC,Hindu,,Tamil Nadu,,,,68256,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,TRUE,Govt,,
Female,17,,BC,Muslim,,Tamil Nadu,,,,47310,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,Polytechnic,TRUE,Govt,,
Female,21,,SC,Hindu,,Tamil Nadu,,,,52815,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,Diploma,TRUE,Govt,,
Female,19,,BC,Muslim,,Tamil Nadu,,,,60293,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,Polytechnic,TRUE,Govt,,
Female,19,,ST,Christian,,Tamil Nadu,,,,18974,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,Polytechnic,TRUE,Govt,,
Male,17,,MBC,Muslim,,Tamil Nadu,,,,41506,,,,,,Pudhumai Penn Scheme,,No,Not Female,,,,,,,,,,,,TRUE,Diploma,TRUE,Govt,,
Female,17,,SC,Christian,,Tamil Nadu,,,,79145,,,,,,Pudhumai Penn Scheme,,No,Did not study in Govt School (6â€“12),,,,,,,,,,,,FALSE,Polytechnic,TRUE,Govt,,
Female,18,,BC,Hindu,,Tamil Nadu,,,,75677,,,,,,Pudhumai Penn Scheme,,No,Not pursuing higher education,,,,,,,,,,,,TRUE,,TRUE,Govt,,
Female,18,,ST,Christian,,Tamil Nadu,,,,52907,,,,,,Pudhumai Penn Scheme,,No,Not studying in Govt Institution,,,,,,,,,,,,TRUE,Diploma,TRUE,Private,,
Female,17,,BC,Muslim,,Kerala,,,,30365,,,,,,Pudhumai Penn Scheme,,No,Not a resident of Tamil Nadu,,,,,,,,,,,,TRUE,UG,TRUE,Govt,,
Male,19,,ST,Christian,,Tamil Nadu,,,,41704,,,,,,Pudhumai Penn Scheme,,No,Not Female,,,,,,,,,,,,TRUE,UG,TRUE,Govt,,
Female,19,,DNC,Muslim,,Tamil Nadu,,,,33215,,,,,,Pudhumai Penn Scheme,,No,Did not study in Govt School (6â€“12),,,,,,,,,,,,FALSE,Polytechnic,TRUE,Govt,,
Female,18,,BC,Muslim,,Tamil Nadu,,,,31723,,,,,,Pudhumai Penn Scheme,,No,Not pursuing higher education,,,,,,,,,,,,TRUE,,TRUE,Govt,,
Female,21,,SC,Hindu,,Tamil Nadu,,,,20977,,,,,,Pudhumai Penn Scheme,,No,Not studying in Govt Institution,,,,,,,,,,,,TRUE,Diploma,TRUE,Private,,
Female,20,,DNC,Hindu,,Kerala,,,,66717,,,,,,Pudhumai Penn Scheme,,No,Not a resident of Tamil Nadu,,,,,,,,,,,,TRUE,Polytechnic,TRUE,Govt,,
Male,19,,BC,Christian,,Tamil Nadu,,,,48214,,,,,,Pudhumai Penn Scheme,,No,Not Female,,,,,,,,,,,,TRUE,Diploma,TRUE,Govt,,
Female,21,,MBC,Muslim,,Tamil Nadu,,,,35914,,,,,,Pudhumai Penn Scheme,,No,Did not study in Govt School (6â€“12),,,,,,,,,,,,FALSE,Diploma,TRUE,Govt,,
Female,17,,SC,Muslim,,Tamil Nadu,,,,19430,,,,,,Pudhumai Penn Scheme,,No,Not pursuing higher education,,,,,,,,,,,,TRUE,,TRUE,Govt,,
Female,17,,ST,Muslim,,Tamil Nadu,,,,24128,,,,,,Pudhumai Penn Scheme,,No,Not studying in Govt Institution,,,,,,,,,,,,TRUE,Diploma,TRUE,Private,,
Female,20,,BC,Muslim,,Kerala,,,,14978,,,,,,Pudhumai Penn Scheme,,No,Not a resident of Tamil Nadu,,,,,,,,,,,,TRUE,Diploma,TRUE,Govt,,
Male,21,,MBC,Muslim,,Tamil Nadu,,,,54738,,,,,,Pudhumai Penn Scheme,,No,Not Female,,,,,,,,,,,,TRUE,UG,TRUE,Govt,,
Female,19,,SC,Christian,,Tamil Nadu,,,,37501,,,,,,Pudhumai Penn Scheme,,No,Did not study in Govt School (6â€“12),,,,,,,,,,,,FALSE,Polytechnic,TRUE,Govt,,
Female,19,,DNC,Christian,,Tamil Nadu,,,,23347,,,,,,Pudhumai Penn Scheme,,No,Not pursuing higher education,,,,,,,,,,,,TRUE,,TRUE,Govt,,
Female,19,,SC,Christian,,Tamil Nadu,,,,60063,,,,,,Pudhumai Penn Scheme,,No,Not studying in Govt Institution,,,,,,,,,,,,TRUE,Diploma,TRUE,Private,,
Female,18,,MBC,Muslim,,Kerala,,,,37360,,,,,,Pudhumai Penn Scheme,,No,Not a resident of Tamil Nadu,,,,,,,,,,,,TRUE,UG,TRUE,Govt,,
Male,18,,,Muslim,Urban,Tamil Nadu,,,,66012,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,MBBS,,,,TRUE
Female,17,,,Muslim,Rural,Tamil Nadu,,,,60484,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,MBBS,,,,TRUE
Female,17,,,Muslim,Urban,Tamil Nadu,,,,64572,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,BDS,,,,TRUE
Female,20,,,Christian,Urban,Tamil Nadu,,,,46147,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,MBBS,,,,TRUE
Male,19,,,Hindu,Rural,Tamil Nadu,,,,61913,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,MBBS,,,,TRUE
Male,17,,,Muslim,Urban,Tamil Nadu,,,,55188,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,B.Tech,,,,TRUE
Female,17,,,Hindu,Rural,Tamil Nadu,,,,22434,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,BDS,,,,TRUE
Female,21,,,Christian,Urban,Tamil Nadu,,,,68593,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,MBBS,,,,TRUE
Female,18,,,Christian,Rural,Tamil Nadu,,,,42199,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,BE,,,,TRUE
Female,18,,,Muslim,Urban,Tamil Nadu,,,,73448,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,B.Tech,,,,TRUE
Female,18,,,Christian,Urban,Tamil Nadu,,,,41250,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,BE,,,,TRUE
Female,18,,,Christian,Urban,Tamil Nadu,,,,72822,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,MBBS,,,,TRUE
Female,17,,,Christian,Rural,Tamil Nadu,,,,20875,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,B.Tech,,,,TRUE
Male,20,,,Muslim,Urban,Tamil Nadu,,,,31130,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,BDS,,,,TRUE
Female,19,,,Hindu,Rural,Tamil Nadu,,,,59582,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,BE,,,,TRUE
Female,18,,,Hindu,Rural,Tamil Nadu,,,,43861,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,BDS,,,,TRUE
Female,18,,,Christian,Urban,Tamil Nadu,,,,43015,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,B.Tech,,,,TRUE
Male,18,,,Christian,Rural,Tamil Nadu,,,,60039,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,BE,,,,TRUE
Male,18,,,Hindu,Urban,Tamil Nadu,,,,27577,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,MBBS,,,,TRUE
Female,19,,,Hindu,Rural,Tamil Nadu,,,,50785,,,,,,7.5% Government School Quota Scholarship,,Yes,,,,,,,,,,,,,TRUE,BDS,,,,TRUE
Female,17,,,Christian,Urban,Tamil Nadu,,,,73540,,,,,,7.5% Government School Quota Scholarship,,No,Did not study in Govt School (6â€“12),,,,,,,,,,,,FALSE,BDS,,,,TRUE
Male,20,,,Hindu,Rural,Tamil Nadu,,,,30211,,,,,,7.5% Government School Quota Scholarship,,No,Not admitted under 7.5% Quota,,,,,,,,,,,,TRUE,BE,,,,FALSE
Male,18,,,Muslim,Urban,Tamil Nadu,,,,74014,,,,,,7.5% Government School Quota Scholarship,,No,Not pursuing professional course,,,,,,,,,,,,TRUE,B.Com,,,,TRUE
Male,18,,,Muslim,Urban,Andhra Pradesh,,,,69169,,,,,,7.5% Government School Quota Scholarship,,No,Not a resident of Tamil Nadu,,,,,,,,,,,,TRUE,MBBS,,,,TRUE
Female,17,,,Muslim,Rural,Tamil Nadu,,,,30452,,,,,,7.5% Government School Quota Scholarship,,No,Did not study in Govt School (6â€“12),,,,,,,,,,,,FALSE,MBBS,,,,TRUE
Male,21,,,Hindu,Urban,Tamil Nadu,,,,35305,,,,,,7.5% Government School Quota Scholarship,,No,Not admitted under 7.5% Quota,,,,,,,,,,,,TRUE,BDS,,,,FALSE
Female,20,,,Muslim,Rural,Tamil Nadu,,,,22402,,,,,,7.5% Government School Quota Scholarship,,No,Not pursuing professional course,,,,,,,,,,,,TRUE,B.Com,,,,TRUE
Female,20,,,Christian,Rural,Andhra Pradesh,,,,38238,,,,,,7.5% Government School Quota Scholarship,,No,Not a resident of Tamil Nadu,,,,,,,,,,,,TRUE,MBBS,,,,TRUE
Male,21,,,Christian,Urban,Tamil Nadu,,,,78293,,,,,,7.5% Government School Quota Scholarship,,No,Did not study in Govt School (6â€“12),,,,,,,,,,,,FALSE,MBBS,,,,TRUE
Male,21,,,Christian,Rural,Tamil Nadu,,,,55395,,,,,,7.5% Government School Quota Scholarship,,No,Not admitted under 7.5% Quota,,,,,,,,,,,,TRUE,BE,,,,FALSE
Female,19,,,Muslim,Rural,Tamil Nadu,,,,48001,,,,,,7.5% Government School Quota Scholarship,,No,Not pursuing professional course,,,,,,,,,,,,TRUE,B.Com,,,,TRUE
Male,21,,,Muslim,Rural,Andhra Pradesh,,,,51757,,,,,,7.5% Government School Quota Scholarship,,No,Not a resident of Tamil Nadu,,,,,,,,,,,,TRUE,B.Tech,,,,TRUE
Male,20,,,Hindu,Rural,Tamil Nadu,,,,52544,,,,,,7.5% Government School Quota Scholarship,,No,Did not study in Govt School (6â€“12),,,,,,,,,,,,FALSE,MBBS,,,,TRUE
Female,19,,,Muslim,Rural,Tamil Nadu,,,,66074,,,,,,7.5% Government School Quota Scholarship,,No,Not admitted under 7.5% Quota,,,,,,,,,,,,TRUE,BDS,,,,FALSE
Female,19,,,Hindu,Rural,Tamil Nadu,,,,28680,,,,,,7.5% Government School Quota Scholarship,,No,Not pursuing professional course,,,,,,,,,,,,TRUE,B.Com,,,,TRUE
Male,20,,,Hindu,Urban,Andhra Pradesh,,,,47624,,,,,,7.5% Government School Quota Scholarship,,No,Not a resident of Tamil Nadu,,,,,,,,,,,,TRUE,MBBS,,,,TRUE
Female,17,,,Hindu,Rural,Tamil Nadu,,,,35800,,,,,,7.5% Government School Quota Scholarship,,No,Did not study in Govt School (6â€“12),,,,,,,,,,,,FALSE,BDS,,,,TRUE
Male,17,,,Muslim,Urban,Tamil Nadu,,,,78712,,,,,,7.5% Government School Quota Scholarship,,No,Not admitted under 7.5% Quota,,,,,,,,,,,,TRUE,BDS,,,,FALSE
Female,20,,,Hindu,Urban,Tamil Nadu,,,,48706,,,,,,7.5% Government School Quota Scholarship,,No,Not pursuing professional course,,,,,,,,,,,,TRUE,B.Com,,,,TRUE
Male,20,,,Muslim,Rural,Andhra Pradesh,,,,68883,,,,,,7.5% Government School Quota Scholarship,,No,Not a resident of Tamil Nadu,,,,,,,,,,,,TRUE,BDS,,,,TRUE
Male,21,,,Hindu,Rural,Tamil Nadu,,,,21499,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,18,,,Hindu,Urban,Tamil Nadu,,,,38660,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,19,,,Muslim,Urban,Tamil Nadu,,,,23933,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,18,,,Muslim,Urban,Tamil Nadu,,,,62357,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,21,,,Muslim,Urban,Tamil Nadu,,,,41421,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,18,,,Muslim,Rural,Tamil Nadu,,,,44692,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,20,,,Hindu,Rural,Tamil Nadu,,,,42875,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,17,,,Muslim,Urban,Tamil Nadu,,,,74717,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,18,,,Muslim,Rural,Tamil Nadu,,,,55098,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,17,,,Muslim,Rural,Tamil Nadu,,,,41019,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,19,,,Muslim,Urban,Tamil Nadu,,,,75444,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,20,,,Muslim,Urban,Tamil Nadu,,,,61171,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,19,,,Muslim,Urban,Tamil Nadu,,,,29597,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,19,,,Muslim,Rural,Tamil Nadu,,,,64027,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,20,,,Hindu,Urban,Tamil Nadu,,,,34380,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,18,,,Muslim,Urban,Tamil Nadu,,,,43069,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,20,,,Muslim,Rural,Tamil Nadu,,,,45787,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,19,,,Muslim,Rural,Tamil Nadu,,,,33924,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,21,,,Muslim,Urban,Tamil Nadu,,,,22882,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,20,,,Muslim,Urban,Tamil Nadu,,,,58318,,,,,,Tamil Puthalvan Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,,Govt,,
Female,21,,,Hindu,Rural,Tamil Nadu,,,,26803,,,,,,Tamil Puthalvan Scheme,,No,Not Male,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,18,,,Muslim,Urban,Tamil Nadu,,,,59588,,,,,,Tamil Puthalvan Scheme,,No,Did not study in Govt/Govt-aided school,,,,,,,,,,,,FALSE,UG,,Govt,,
Male,20,,,Muslim,Rural,Tamil Nadu,,,,42413,,,,,,Tamil Puthalvan Scheme,,No,Not pursuing UG,,,,,,,,,,,,TRUE,,,Govt,,
Male,19,,,Hindu,Urban,Tamil Nadu,,,,34804,,,,,,Tamil Puthalvan Scheme,,No,Not studying in Govt Institution,,,,,,,,,,,,TRUE,UG,,Private,,
Male,17,,,Hindu,Rural,Puducherry,,,,25120,,,,,,Tamil Puthalvan Scheme,,No,Not a resident of Tamil Nadu,,,,,,,,,,,,TRUE,UG,,Govt,,
Female,17,,,Muslim,Rural,Tamil Nadu,,,,39651,,,,,,Tamil Puthalvan Scheme,,No,Not Male,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,20,,,Hindu,Rural,Tamil Nadu,,,,29622,,,,,,Tamil Puthalvan Scheme,,No,Did not study in Govt/Govt-aided school,,,,,,,,,,,,FALSE,UG,,Govt,,
Male,21,,,Hindu,Rural,Tamil Nadu,,,,52144,,,,,,Tamil Puthalvan Scheme,,No,Not pursuing UG,,,,,,,,,,,,TRUE,,,Govt,,
Male,17,,,Muslim,Rural,Tamil Nadu,,,,62987,,,,,,Tamil Puthalvan Scheme,,No,Not studying in Govt Institution,,,,,,,,,,,,TRUE,UG,,Private,,
Male,17,,,Hindu,Urban,Puducherry,,,,68337,,,,,,Tamil Puthalvan Scheme,,No,Not a resident of Tamil Nadu,,,,,,,,,,,,TRUE,UG,,Govt,,
Female,19,,,Muslim,Urban,Tamil Nadu,,,,32234,,,,,,Tamil Puthalvan Scheme,,No,Not Male,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,17,,,Hindu,Urban,Tamil Nadu,,,,37747,,,,,,Tamil Puthalvan Scheme,,No,Did not study in Govt/Govt-aided school,,,,,,,,,,,,FALSE,UG,,Govt,,
Male,19,,,Hindu,Rural,Tamil Nadu,,,,77282,,,,,,Tamil Puthalvan Scheme,,No,Not pursuing UG,,,,,,,,,,,,TRUE,,,Govt,,
Male,20,,,Muslim,Rural,Tamil Nadu,,,,35857,,,,,,Tamil Puthalvan Scheme,,No,Not studying in Govt Institution,,,,,,,,,,,,TRUE,UG,,Private,,
Male,19,,,Hindu,Rural,Puducherry,,,,41000,,,,,,Tamil Puthalvan Scheme,,No,Not a resident of Tamil Nadu,,,,,,,,,,,,TRUE,UG,,Govt,,
Female,21,,,Muslim,Urban,Tamil Nadu,,,,60677,,,,,,Tamil Puthalvan Scheme,,No,Not Male,,,,,,,,,,,,TRUE,UG,,Govt,,
Male,18,,,Muslim,Rural,Tamil Nadu,,,,20581,,,,,,Tamil Puthalvan Scheme,,No,Did not study in Govt/Govt-aided school,,,,,,,,,,,,FALSE,UG,,Govt,,
Male,18,,,Hindu,Urban,Tamil Nadu,,,,22512,,,,,,Tamil Puthalvan Scheme,,No,Not pursuing UG,,,,,,,,,,,,TRUE,,,Govt,,
Male,17,,,Muslim,Urban,Tamil Nadu,,,,28187,,,,,,Tamil Puthalvan Scheme,,No,Not studying in Govt Institution,,,,,,,,,,,,TRUE,UG,,Private,,
Male,21,,,Muslim,Urban,Puducherry,,,,69490,,,,,,Tamil Puthalvan Scheme,,No,Not a resident of Tamil Nadu,,,,,,,,,,,,TRUE,UG,,Govt,,
Female,,,BC,,,Tamil Nadu,,,,48637,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,UG,,Govt,,
Male,,,MBC,,,Tamil Nadu,,,,20912,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,Professional,,Govt,,
Male,,,MBC,,,Tamil Nadu,,,,12770,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,Diploma,,Govt,,
Male,,,DNC,,,Tamil Nadu,,,,18705,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,Professional,,Govt,,
Male,,,MBC,,,Tamil Nadu,,,,40636,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,UG,,Govt,,
Male,,,MBC,,,Tamil Nadu,,,,45783,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,Professional,,Govt,,
Male,,,MBC,,,Tamil Nadu,,,,21584,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,Diploma,,Govt,,
Male,,,BC,,,Tamil Nadu,,,,20824,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,Diploma,,Govt,,
Male,,,BC,,,Tamil Nadu,,,,40199,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,UG,,Govt,,
Male,,,BC,,,Tamil Nadu,,,,24756,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,Professional,,Govt,,
Female,,,DNC,,,Tamil Nadu,,,,23090,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,Professional,,Govt,,
Female,,,BC,,,Tamil Nadu,,,,29153,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,Professional,,Govt,,
Female,,,BC,,,Tamil Nadu,,,,13836,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,Diploma,,Govt,,
Male,,,DNC,,,Tamil Nadu,,,,28249,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,UG,,Govt,,
Male,,,MBC,,,Tamil Nadu,,,,11033,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,Professional,,Govt,,
Female,,,BC,,,Tamil Nadu,,,,30981,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,Professional,,Govt,,
Female,,,DNC,,,Tamil Nadu,,,,35565,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,UG,,Govt,,
Female,,,DNC,,,Tamil Nadu,,,,20821,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,Diploma,,Govt,,
Male,,,DNC,,,Tamil Nadu,,,,31508,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,UG,,Govt,,
Female,,,MBC,,,Tamil Nadu,,,,31735,,,,,,Free Education Scheme (BC/MBC/DNC Students),,Yes,,,,,,,,,,,,,,UG,,Govt,,
Female,,,SC,,,Tamil Nadu,,,,14597,,,,,,Free Education Scheme (BC/MBC/DNC Students),,No,Not from BC/MBC/DNC community,,,,,,,,,,,,,Diploma,,Govt,,
Male,,,BC,,,Tamil Nadu,,,,80000,,,,,,Free Education Scheme (BC/MBC/DNC Students),,No,Annual income exceeds limit,,,,,,,,,,,,,Professional,,Govt,,
Female,,,MBC,,,Tamil Nadu,,,,21446,,,,,,Free Education Scheme (BC/MBC/DNC Students),,No,Not in Govt/Govt-aided institution,,,,,,,,,,,,,UG,,Private,,
Male,,,BC,,,Tamil Nadu,,,,44131,,,,,,Free Education Scheme (BC/MBC/DNC Students),,No,Not pursuing eligible course,,,,,,,,,,,,,PG,,Govt,,
Female,,,DNC,,,Kerala,,,,35879,,,,,,Free Education Scheme (BC/MBC/DNC Students),,No,Not a resident of Tamil Nadu,,,,,,,,,,,,,Professional,,Govt,,
Male,,,SC,,,Tamil Nadu,,,,16825,,,,,,Free Education Scheme (BC/MBC/DNC Students),,No,Not from BC/MBC/DNC community,,,,,,,,,,,,,Diploma,,Govt,,
Male,,,BC,,,Tamil Nadu,,,,80000,,,,,,Free Education Scheme (BC/MBC/DNC Students),,No,Annual income exceeds limit,,,,,,,,,,,,,UG,,Govt,,
Male,,,BC,,,Tamil Nadu,,,,48998,,,,,,Free Education Scheme (BC/MBC/DNC Students),,No,Not in Govt/Govt-aided institution,,,,,,,,,,,,,Professional,,Private,,
Female,,,MBC,,,Tamil Nadu,,,,14256,,,,,,Free Education Scheme (BC/MBC/DNC Students),,No,Not pursuing eligible course,,,,,,,,,,,,,PG,,Govt,,
Female,,,MBC,,,Kerala,,,,32368,,,,,,Free Education Scheme (BC/MBC/DNC Students),,No,Not a resident of Tamil Nadu,,,,,,,,,,,,,Diploma,,Govt,,
